rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
"Davis, Henrietta","Podgers, Kathy","Simmons, E. Denise","Glick, Silvia P.","Leavitt, Neal W.","Cheung, Leland","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.","Flanagan, Mark F.","Kelley, Craig A.","Maher, David P.","Moree, Gregg J.","Reeves, Kenneth E.","Seidel, Sam","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Marquardt, Charles J.","Adkins, Lawrence J."
"Cheung, Leland","Davis, Henrietta","Kelley, Craig A.","Maher, David P.","Seidel, Sam","Toomey, Jr., Timothy J.","Simmons, E. Denise","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Stohlman, Jr., Thomas J.","Reeves, Kenneth E.","Sullivan, Edward J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.","Adkins, Lawrence J."
"Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Davis, Henrietta","vanBeuzekom, Minka Y.","Sullivan, Edward J.","Stohlman, Jr., Thomas J.","Moree, Gregg J.","Marquardt, Charles J.","Cheung, Leland","Ward, Larry W.","Reeves, Kenneth E.","Williamson, James M.","Leavitt, Neal W.","Seidel, Sam","Podgers, Kathy","Maher, David P.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Adkins, Lawrence J."
"Kelley, Craig A.","Maher, David P.","Simmons, E. Denise","Seidel, Sam","Reeves, Kenneth E.","Cheung, Leland","Davis, Henrietta","Williamson, James M.","Toomey, Jr., Timothy J.","Ward, Larry W.","Sullivan, Edward J.","Moree, Gregg J.","Flanagan, Mark F.","Glick, Silvia P.","Podgers, Kathy","vanBeuzekom, Minka Y.","Stohlman, Jr., Thomas J.","Marquardt, Charles J.","Leavitt, Neal W.","Adkins, Lawrence J."
"Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Leavitt, Neal W.","Glick, Silvia P.","Simmons, E. Denise","Cheung, Leland","Podgers, Kathy","Toomey, Jr., Timothy J.","Kelley, Craig A.","Seidel, Sam","Marquardt, Charles J.","Ward, Larry W.","Maher, David P.","Sullivan, Edward J.","Davis, Henrietta","Williamson, James M.","Reeves, Kenneth E.","Flanagan, Mark F.","Moree, Gregg J.","Adkins, Lawrence J."
"Simmons, E. Denise","Reeves, Kenneth E.","Davis, Henrietta","Kelley, Craig A.","Maher, David P.","Seidel, Sam","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.","Sullivan, Edward J.","Stohlman, Jr., Thomas J.","Podgers, Kathy","Moree, Gregg J.","Marquardt, Charles J.","Leavitt, Neal W.","Glick, Silvia P.","Flanagan, Mark F.","Cheung, Leland","Adkins, Lawrence J."
"Ward, Larry W.","Maher, David P.","Simmons, E. Denise","Sullivan, Edward J.","Kelley, Craig A.","Leavitt, Neal W.","Davis, Henrietta","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Glick, Silvia P.","Cheung, Leland","Flanagan, Mark F.","Williamson, James M.","vanBeuzekom, Minka Y.","Toomey, Jr., Timothy J.","Stohlman, Jr., Thomas J.","Adkins, Lawrence J."
"Simmons, E. Denise","Reeves, Kenneth E.","Toomey, Jr., Timothy J.","Davis, Henrietta","Maher, David P.","Kelley, Craig A.","Ward, Larry W.","Seidel, Sam","Glick, Silvia P.","Williamson, James M.","Sullivan, Edward J.","Moree, Gregg J.","Marquardt, Charles J.","Podgers, Kathy","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Adkins, Lawrence J.","Flanagan, Mark F.","Leavitt, Neal W.","Cheung, Leland"
"Decker, Marjorie C.","vanBeuzekom, Minka Y.","Davis, Henrietta","Kelley, Craig A.","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Cheung, Leland"
"Glick, Silvia P.","Davis, Henrietta","vanBeuzekom, Minka Y.","Simmons, E. Denise","Leavitt, Neal W.","Ward, Larry W.","Flanagan, Mark F.","Sullivan, Edward J.","Podgers, Kathy","Kelley, Craig A.","Reeves, Kenneth E.","Seidel, Sam","Toomey, Jr., Timothy J.","Moree, Gregg J.","Maher, David P.","Stohlman, Jr., Thomas J.","Williamson, James M.","Marquardt, Charles J.","Adkins, Lawrence J.","Cheung, Leland"
"Sullivan, Edward J.","Reeves, Kenneth E.","Podgers, Kathy","Glick, Silvia P.","Kelley, Craig A.","Marquardt, Charles J.","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Williamson, James M.","Ward, Larry W.","Leavitt, Neal W.","Maher, David P.","Adkins, Lawrence J.","Moree, Gregg J.","Flanagan, Mark F.","vanBeuzekom, Minka Y.","Seidel, Sam","Davis, Henrietta","Simmons, E. Denise","Cheung, Leland"
"Reeves, Kenneth E.","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Davis, Henrietta","Adkins, Lawrence J.","Williamson, James M.","Ward, Larry W.","vanBeuzekom, Minka Y.","Seidel, Sam","Podgers, Kathy","Moree, Gregg J.","Marquardt, Charles J.","Flanagan, Mark F.","Glick, Silvia P.","Maher, David P.","Leavitt, Neal W.","Kelley, Craig A.","Stohlman, Jr., Thomas J.","Cheung, Leland"
"Davis, Henrietta","Maher, David P.","Kelley, Craig A.","Reeves, Kenneth E.","Simmons, E. Denise","Seidel, Sam","Toomey, Jr., Timothy J.","Ward, Larry W.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Flanagan, Mark F.",skipped,"Stohlman, Jr., Thomas J.","Sullivan, Edward J.","vanBeuzekom, Minka Y.",skipped,"Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland"
skipped,skipped,skipped,skipped,skipped,"Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland"
"Toomey, Jr., Timothy J.","Davis, Henrietta","Kelley, Craig A.","Maher, David P.","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Cheung, Leland"
"Ward, Larry W.","Reeves, Kenneth E.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Sullivan, Edward J.","Maher, David P.","Kelley, Craig A.","Davis, Henrietta","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Seidel, Sam","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Adkins, Lawrence J.","Williamson, James M.","Cheung, Leland"
"Davis, Henrietta","Simmons, E. Denise","Ward, Larry W.","Podgers, Kathy","Seidel, Sam","Glick, Silvia P.","Kelley, Craig A.","Maher, David P.","Toomey, Jr., Timothy J.","Flanagan, Mark F.","Adkins, Lawrence J.","vanBeuzekom, Minka Y.","Sullivan, Edward J.","Stohlman, Jr., Thomas J.","Moree, Gregg J.","Marquardt, Charles J.","Leavitt, Neal W.","Reeves, Kenneth E.","Williamson, James M.","Cheung, Leland"
"Toomey, Jr., Timothy J.","Simmons, E. Denise","Sullivan, Edward J.","Ward, Larry W.","Adkins, Lawrence J.","Davis, Henrietta","Flanagan, Mark F.","Kelley, Craig A.","Leavitt, Neal W.","Glick, Silvia P.","Maher, David P.","Moree, Gregg J.","Marquardt, Charles J.","Reeves, Kenneth E.","Podgers, Kathy","Stohlman, Jr., Thomas J.","Seidel, Sam","Williamson, James M.","vanBeuzekom, Minka Y.","Cheung, Leland"
"Decker, Marjorie C.","Davis, Henrietta","Seidel, Sam","Maher, David P.","Reeves, Kenneth E.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Ward, Larry W.","Flanagan, Mark F.","vanBeuzekom, Minka Y.","Leavitt, Neal W.","Glick, Silvia P.","Marquardt, Charles J.","Adkins, Lawrence J.","Moree, Gregg J.","Podgers, Kathy","Stohlman, Jr., Thomas J.","Williamson, James M.","Kelley, Craig A.","Cheung, Leland"
"Seidel, Sam","Decker, Marjorie C.","vanBeuzekom, Minka Y.","Kelley, Craig A.","Leavitt, Neal W.","Podgers, Kathy","Davis, Henrietta","Toomey, Jr., Timothy J.","Marquardt, Charles J.","Maher, David P.","Glick, Silvia P.","Flanagan, Mark F.","Williamson, James M.","Ward, Larry W.","Sullivan, Edward J.","Stohlman, Jr., Thomas J.","Reeves, Kenneth E.","Adkins, Lawrence J.","Simmons, E. Denise","Cheung, Leland"
"Toomey, Jr., Timothy J.","Simmons, E. Denise","Reeves, Kenneth E.","Maher, David P.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Marquardt, Charles J.","Flanagan, Mark F.","Moree, Gregg J.","Davis, Henrietta","Podgers, Kathy","Seidel, Sam","Ward, Larry W.","vanBeuzekom, Minka Y.","Williamson, James M.","Sullivan, Edward J.","Stohlman, Jr., Thomas J.","Adkins, Lawrence J.","Cheung, Leland"
"Toomey, Jr., Timothy J.","Davis, Henrietta","Kelley, Craig A.","Maher, David P.","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Ward, Larry W.","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","vanBeuzekom, Minka Y.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland"
"Glick, Silvia P.","Flanagan, Mark F.","Podgers, Kathy","Kelley, Craig A.","vanBeuzekom, Minka Y.","Leavitt, Neal W.","Davis, Henrietta","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland"
"Decker, Marjorie C.","Leavitt, Neal W.","Glick, Silvia P.","Seidel, Sam","Maher, David P.","Reeves, Kenneth E.","Simmons, E. Denise","Davis, Henrietta","Ward, Larry W.","Sullivan, Edward J.","Stohlman, Jr., Thomas J.","Kelley, Craig A.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland"
"Decker, Marjorie C.","Stohlman, Jr., Thomas J.","Williamson, James M.","Kelley, Craig A.","Maher, David P.","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Davis, Henrietta","Ward, Larry W.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Leavitt, Neal W.","Adkins, Lawrence J.","Podgers, Kathy","Moree, Gregg J.","Marquardt, Charles J.","Glick, Silvia P.","Flanagan, Mark F.","Cheung, Leland"
"Simmons, E. Denise","Reeves, Kenneth E.","Podgers, Kathy","Toomey, Jr., Timothy J.","Ward, Larry W.","Davis, Henrietta","Moree, Gregg J.","Maher, David P.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Marquardt, Charles J.","Seidel, Sam","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","vanBeuzekom, Minka Y.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland"
"Stohlman, Jr., Thomas J.","Sullivan, Edward J.","vanBeuzekom, Minka Y.","Davis, Henrietta","Kelley, Craig A.","Reeves, Kenneth E.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","Adkins, Lawrence J.","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Seidel, Sam","Cheung, Leland"
"Reeves, Kenneth E.","Simmons, E. Denise","Davis, Henrietta","Maher, David P.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Seidel, Sam","Sullivan, Edward J.","Kelley, Craig A.","Adkins, Lawrence J.","Flanagan, Mark F.","Stohlman, Jr., Thomas J.","Marquardt, Charles J.","Leavitt, Neal W.","Williamson, James M.","Podgers, Kathy","Moree, Gregg J.","Glick, Silvia P.","Cheung, Leland"
"Simmons, E. Denise","Davis, Henrietta","Podgers, Kathy","Kelley, Craig A.","Maher, David P.","Reeves, Kenneth E.","Seidel, Sam","Toomey, Jr., Timothy J.","Ward, Larry W.","Adkins, Lawrence J.","Flanagan, Mark F.","Glick, Silvia P.","Marquardt, Charles J.","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Leavitt, Neal W.","Moree, Gregg J.","Sullivan, Edward J.","Williamson, James M.","Cheung, Leland"
"Toomey, Jr., Timothy J.","Simmons, E. Denise","Sullivan, Edward J.","Davis, Henrietta","Reeves, Kenneth E.","Williamson, James M.","Stohlman, Jr., Thomas J.","Maher, David P.","Kelley, Craig A.","Seidel, Sam","Ward, Larry W.","Adkins, Lawrence J.","Podgers, Kathy","Flanagan, Mark F.","vanBeuzekom, Minka Y.","Moree, Gregg J.","Leavitt, Neal W.","Marquardt, Charles J.","Glick, Silvia P.","Cheung, Leland"
"Maher, David P.",overvote,"Moree, Gregg J.","Sullivan, Edward J.","Flanagan, Mark F.","vanBeuzekom, Minka Y.","Marquardt, Charles J.","Williamson, James M.","Davis, Henrietta","Podgers, Kathy","Simmons, E. Denise","Adkins, Lawrence J.","Reeves, Kenneth E.","Kelley, Craig A.","Leavitt, Neal W.","Seidel, Sam",skipped,"Stohlman, Jr., Thomas J.","Glick, Silvia P.","Cheung, Leland"
"Decker, Marjorie C.","Maher, David P.","Leavitt, Neal W.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Davis, Henrietta","Seidel, Sam","Stohlman, Jr., Thomas J.","Reeves, Kenneth E.","Simmons, E. Denise","Kelley, Craig A.","Flanagan, Mark F.","Williamson, James M.","Ward, Larry W.","vanBeuzekom, Minka Y.","Adkins, Lawrence J.","Marquardt, Charles J.","Podgers, Kathy","Glick, Silvia P.","Cheung, Leland"
"Reeves, Kenneth E.","Simmons, E. Denise","Ward, Larry W.","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Davis, Henrietta"
"Reeves, Kenneth E.","Simmons, E. Denise","Seidel, Sam","Podgers, Kathy","Stohlman, Jr., Thomas J.","Flanagan, Mark F.","Cheung, Leland","vanBeuzekom, Minka Y.","Adkins, Lawrence J.","Leavitt, Neal W.","Glick, Silvia P.","Kelley, Craig A.","Marquardt, Charles J.","Toomey, Jr., Timothy J.","Maher, David P.","Sullivan, Edward J.","Moree, Gregg J.","Ward, Larry W.","Williamson, James M.","Davis, Henrietta"
"Seidel, Sam","Leavitt, Neal W.","Cheung, Leland","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","vanBeuzekom, Minka Y.","Kelley, Craig A.","Glick, Silvia P.","Flanagan, Mark F.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Williamson, James M.","Adkins, Lawrence J.","Simmons, E. Denise","Maher, David P.","Ward, Larry W.","Toomey, Jr., Timothy J.","Reeves, Kenneth E.","Davis, Henrietta"
"Sullivan, Edward J.","Podgers, Kathy","Moree, Gregg J.","Flanagan, Mark F.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland","Marquardt, Charles J.","Glick, Silvia P.","Seidel, Sam","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Leavitt, Neal W.","Maher, David P.","Toomey, Jr., Timothy J.","Kelley, Craig A.","Simmons, E. Denise","Ward, Larry W.","Reeves, Kenneth E.","Davis, Henrietta"
"Kelley, Craig A.","vanBeuzekom, Minka Y.","Cheung, Leland","Glick, Silvia P.","Leavitt, Neal W.","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","Adkins, Lawrence J.","Flanagan, Mark F.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Davis, Henrietta"
"Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta"
"Maher, David P.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Toomey, Jr., Timothy J.","Simmons, E. Denise","Seidel, Sam","Reeves, Kenneth E.","Kelley, Craig A.","Davis, Henrietta"
"Sullivan, Edward J.","Ward, Larry W.","Toomey, Jr., Timothy J.","Simmons, E. Denise","Maher, David P.","Kelley, Craig A.",skipped,skipped,skipped,"Stohlman, Jr., Thomas J.","Leavitt, Neal W.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","vanBeuzekom, Minka Y.","Glick, Silvia P.","Flanagan, Mark F.","Davis, Henrietta"
"Seidel, Sam","Cheung, Leland","Simmons, E. Denise","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.","Adkins, Lawrence J.","Davis, Henrietta"
"Kelley, Craig A.","Reeves, Kenneth E.","Cheung, Leland","Seidel, Sam","Maher, David P.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Ward, Larry W.","Marquardt, Charles J.","Moree, Gregg J.","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Podgers, Kathy","Adkins, Lawrence J.","Williamson, James M.","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.","vanBeuzekom, Minka Y.","Davis, Henrietta"
"Marquardt, Charles J.","Cheung, Leland","Flanagan, Mark F.","Maher, David P.","Toomey, Jr., Timothy J.","Glick, Silvia P.","Leavitt, Neal W.","Kelley, Craig A.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.",skipped,"vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.","Davis, Henrietta"
"Decker, Marjorie C.","Adkins, Lawrence J.","Reeves, Kenneth E.","Cheung, Leland","Ward, Larry W.","Simmons, E. Denise","Podgers, Kathy","Maher, David P.","Glick, Silvia P.","vanBeuzekom, Minka Y.",skipped,"Moree, Gregg J.","Kelley, Craig A.","Williamson, James M.",skipped,"Leavitt, Neal W.","Marquardt, Charles J.","Seidel, Sam","Stohlman, Jr., Thomas J.","Davis, Henrietta"
Write-In 2,"Cheung, Leland","Sullivan, Edward J.","Glick, Silvia P.","Simmons, E. Denise","Moree, Gregg J.","Marquardt, Charles J.","Podgers, Kathy","vanBeuzekom, Minka Y.","Toomey, Jr., Timothy J.","Reeves, Kenneth E.","Maher, David P.","Leavitt, Neal W.","Flanagan, Mark F.","Seidel, Sam","Stohlman, Jr., Thomas J.","Ward, Larry W.","Williamson, James M.","Kelley, Craig A.","Davis, Henrietta"
